timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14 00:00:00,0.2,84,-2.2,-3.3,0.0
2024-12-14 01:00:00,-0.1,86,-2.1,-3.6,0.0
2024-12-14 02:00:00,-0.1,86,-2.2,-3.9,0.0
2024-12-14 03:00:00,0.1,84,-2.3,-2.9,0.0
2024-12-14 04:00:00,-0.3,93,-1.3,-3.3,0.0
2024-12-14 05:00:00,-0.3,95,-1.0,-3.1,0.0
2024-12-14 06:00:00,-0.1,96,-0.7,-2.8,0.0
2024-12-14 07:00:00,-0.1,96,-0.7,-3.2,0.2
2024-12-14 08:00:00,0.2,94,-0.7,-3.0,0.0
2024-12-14 09:00:00,0.8,90,-0.7,-2.6,0.0
2024-12-14 10:00:00,1.4,87,-0.6,-1.7,0.0
2024-12-14 11:00:00,2.0,84,-0.4,-1.4,0.0
2024-12-14 12:00:00,2.5,81,-0.4,0.1,0.0
2024-12-14 13:00:00,2.8,80,-0.3,0.3,0.0
2024-12-14 14:00:00,2.9,80,-0.2,0.3,0.0
2024-12-14 15:00:00,2.7,82,-0.1,0.5,0.0
2024-12-14 16:00:00,2.1,86,-0.0,-0.4,0.0
2024-12-14 17:00:00,1.3,91,-0.0,-1.1,0.0
2024-12-14 18:00:00,1.0,92,-0.1,-1.4,0.0
2024-12-14 19:00:00,1.1,92,-0.1,-1.3,0.0
2024-12-14 20:00:00,0.8,94,-0.0,-1.4,0.0
2024-12-14 21:00:00,0.8,95,0.1,-1.5,0.0
2024-12-14 22:00:00,0.7,97,0.3,-1.6,0.0
2024-12-14 23:00:00,0.1,99,-0.1,-2.4,0.0
2024-12-15 00:00:00,-1.4,100,-1.4,-4.1,0.0
2024-12-15 01:00:00,-1.8,100,-1.8,-4.6,0.0
2024-12-15 02:00:00,-2.2,100,-2.2,-4.9,0.0
2024-12-15 03:00:00,-0.9,95,-1.6,-3.6,0.0
2024-12-15 04:00:00,-1.1,97,-1.5,-4.0,0.0
2024-12-15 05:00:00,-1.4,95,-2.1,-4.5,0.0
2024-12-15 06:00:00,-2.2,100,-2.2,-5.2,0.0
2024-12-15 07:00:00,-1.7,99,-1.8,-4.7,0.0
2024-12-15 08:00:00,-0.7,96,-1.3,-3.4,0.0
2024-12-15 09:00:00,-0.6,96,-1.2,-3.2,0.0
2024-12-15 10:00:00,0.8,89,-0.8,-1.9,0.0
2024-12-15 11:00:00,3.1,79,-0.2,0.5,0.0
2024-12-15 12:00:00,4.3,78,0.8,1.9,0.0
2024-12-15 13:00:00,5.2,76,1.3,3.0,0.0
2024-12-15 14:00:00,4.5,82,1.7,2.2,0.0
2024-12-15 15:00:00,3.6,83,1.0,1.5,0.0
2024-12-15 16:00:00,3.1,86,1.0,0.9,0.0
2024-12-15 17:00:00,2.1,87,0.1,-0.4,0.0
2024-12-15 18:00:00,1.2,87,-0.7,-1.3,0.0
2024-12-15 19:00:00,1.0,84,-1.4,-1.7,0.0
2024-12-15 20:00:00,0.9,82,-1.8,-1.7,0.0
2024-12-15 21:00:00,0.7,81,-2.2,-2.0,0.0
2024-12-15 22:00:00,-0.5,92,-1.6,-3.2,0.0
2024-12-15 23:00:00,-1.1,97,-1.5,-3.8,0.0
2024-12-16 00:00:00,0.6,93,-0.4,-2.3,0.0
2024-12-16 01:00:00,0.8,89,-0.8,-2.0,0.0
2024-12-16 02:00:00,0.8,88,-1.0,-2.0,0.0
2024-12-16 03:00:00,0.9,91,-0.4,-1.8,0.0
2024-12-16 04:00:00,0.4,92,-0.7,-2.3,0.0
2024-12-16 05:00:00,0.4,92,-0.8,-2.3,0.0
2024-12-16 06:00:00,0.0,94,-0.8,-2.9,0.0
2024-12-16 07:00:00,0.6,89,-1.0,-2.2,0.0
2024-12-16 08:00:00,1.0,85,-1.2,-1.9,0.0
2024-12-16 09:00:00,2.6,78,-0.9,-0.4,0.0
2024-12-16 10:00:00,5.0,71,0.2,2.1,0.0
2024-12-16 11:00:00,6.5,69,1.2,3.8,0.0
2024-12-16 12:00:00,7.6,69,2.3,5.2,0.0
2024-12-16 13:00:00,8.0,70,2.9,5.8,0.0
2024-12-16 14:00:00,7.9,70,2.8,6.0,0.0
2024-12-16 15:00:00,6.9,72,2.2,4.6,0.0
2024-12-16 16:00:00,6.0,75,1.9,3.9,0.0
2024-12-16 17:00:00,5.3,76,1.4,3.2,0.0
2024-12-16 18:00:00,4.4,77,0.7,1.9,0.0
2024-12-16 19:00:00,4.3,78,0.8,2.0,0.0
2024-12-16 20:00:00,4.1,81,1.1,1.8,0.0
2024-12-16 21:00:00,3.6,84,1.2,1.4,0.0
2024-12-16 22:00:00,3.7,82,0.9,1.6,0.0
2024-12-16 23:00:00,4.0,82,1.2,1.8,0.0
