timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-17 00:00:00,1.5,100,1.5,-0.7,0.0
2024-12-17 01:00:00,1.2,99,1.0,-1.2,0.0
2024-12-17 02:00:00,1.7,97,1.2,-0.8,0.0
2024-12-17 03:00:00,-1.7,100,-1.7,-4.4,0.0
2024-12-17 04:00:00,-2.1,100,-2.1,-4.8,0.0
2024-12-17 05:00:00,-1.0,100,-1.0,-3.6,0.0
2024-12-17 06:00:00,-2.6,100,-2.6,-5.3,0.0
2024-12-17 07:00:00,-1.9,100,-1.9,-4.3,0.0
2024-12-17 08:00:00,-0.2,98,-0.5,-2.8,0.0
2024-12-17 09:00:00,0.5,100,0.5,-1.8,0.0
2024-12-17 10:00:00,3.4,87,1.4,1.2,0.0
2024-12-17 11:00:00,4.7,84,2.3,2.7,0.0
2024-12-17 12:00:00,6.0,78,2.5,4.0,0.0
2024-12-17 13:00:00,6.5,76,2.5,4.7,0.0
2024-12-17 14:00:00,6.5,76,2.5,4.7,0.0
2024-12-17 15:00:00,5.7,83,3.1,3.9,0.0
2024-12-17 16:00:00,4.6,86,2.4,2.4,0.0
2024-12-17 17:00:00,3.8,88,2.0,1.8,0.0
2024-12-17 18:00:00,2.0,99,1.9,0.0,0.0
2024-12-17 19:00:00,1.8,100,1.8,-0.3,0.0
2024-12-17 20:00:00,-0.1,100,-0.1,-2.5,0.0
2024-12-17 21:00:00,-1.8,100,-1.8,-4.5,0.0
2024-12-17 22:00:00,-0.4,100,-0.4,-2.7,0.0
2024-12-17 23:00:00,-0.5,100,-0.5,-2.9,0.0
