timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-22 00:00:00,-3.6,88,-5.3,-6.7,0.0
2024-12-22 01:00:00,-3.8,91,-5.1,-7.1,0.0
2024-12-22 02:00:00,-3.8,91,-5.0,-6.8,0.0
2024-12-22 03:00:00,-3.0,87,-4.9,-6.1,0.0
2024-12-22 04:00:00,-3.0,87,-4.8,-6.0,0.0
2024-12-22 05:00:00,-2.8,85,-4.9,-5.9,0.0
2024-12-22 06:00:00,-2.2,82,-4.8,-5.4,0.0
2024-12-22 07:00:00,-1.8,81,-4.6,-4.9,0.0
2024-12-22 08:00:00,-0.9,77,-4.4,-4.1,0.0
2024-12-22 09:00:00,1.2,76,-2.6,-1.7,0.0
2024-12-22 10:00:00,3.3,72,-1.3,0.6,0.0
2024-12-22 11:00:00,4.2,68,-1.1,1.3,0.0
2024-12-22 12:00:00,4.2,67,-1.4,1.4,0.0
2024-12-22 13:00:00,3.7,73,-0.7,1.0,0.0
2024-12-22 14:00:00,4.8,72,0.1,1.4,0.0
2024-12-22 15:00:00,2.7,81,-0.2,-0.2,0.0
2024-12-22 16:00:00,2.8,77,-0.8,0.6,0.0
2024-12-22 17:00:00,3.8,78,0.3,1.3,0.0
2024-12-22 18:00:00,2.9,85,0.6,0.3,0.0
2024-12-22 19:00:00,2.7,89,1.0,0.3,0.3
2024-12-22 20:00:00,2.5,91,1.2,0.0,1.2
2024-12-22 21:00:00,1.5,95,0.7,-1.6,2.2
2024-12-22 22:00:00,1.6,93,0.6,-1.2,0.0
2024-12-22 23:00:00,1.5,94,0.7,-1.2,0.0
