timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14 00:00:00,0.1,84,-2.3,-3.5,0.0
2024-12-14 01:00:00,-0.2,86,-2.3,-3.7,0.0
2024-12-14 02:00:00,-0.3,86,-2.3,-4.1,0.0
2024-12-14 03:00:00,-0.0,84,-2.4,-3.1,0.0
2024-12-14 04:00:00,-0.4,93,-1.4,-3.4,0.0
2024-12-14 05:00:00,-0.4,95,-1.1,-3.2,0.0
2024-12-14 06:00:00,-0.3,96,-0.8,-3.0,0.0
2024-12-14 07:00:00,-0.3,96,-0.8,-3.4,0.2
2024-12-14 08:00:00,0.0,94,-0.8,-3.1,0.0
2024-12-14 09:00:00,0.6,90,-0.8,-2.8,0.0
2024-12-14 10:00:00,1.2,87,-0.7,-1.8,0.0
2024-12-14 11:00:00,1.8,84,-0.6,-1.6,0.0
2024-12-14 12:00:00,2.4,81,-0.5,-0.0,0.0
2024-12-14 13:00:00,2.7,80,-0.4,0.2,0.0
2024-12-14 14:00:00,2.7,80,-0.4,0.2,0.0
2024-12-14 15:00:00,2.5,82,-0.2,0.3,0.0
2024-12-14 16:00:00,1.9,86,-0.2,-0.5,0.0
2024-12-14 17:00:00,1.1,91,-0.2,-1.2,0.0
2024-12-14 18:00:00,0.9,92,-0.3,-1.6,0.0
2024-12-14 19:00:00,0.9,92,-0.2,-1.4,0.0
2024-12-14 20:00:00,0.7,94,-0.2,-1.6,0.0
2024-12-14 21:00:00,0.6,95,-0.1,-1.6,0.0
2024-12-14 22:00:00,0.5,97,0.1,-1.8,0.0
2024-12-14 23:00:00,-0.1,99,-0.2,-2.5,0.0
2024-12-15 00:00:00,-1.6,100,-1.6,-4.3,0.0
2024-12-15 01:00:00,-2.0,100,-2.0,-4.8,0.0
2024-12-15 02:00:00,-2.4,100,-2.4,-5.0,0.0
2024-12-15 03:00:00,-1.1,95,-1.8,-3.8,0.0
2024-12-15 04:00:00,-1.3,97,-1.7,-4.1,0.0
2024-12-15 05:00:00,-1.6,95,-2.3,-4.6,0.0
2024-12-15 06:00:00,-2.4,100,-2.4,-5.3,0.0
2024-12-15 07:00:00,-1.8,99,-1.9,-4.9,0.0
2024-12-15 08:00:00,-0.9,96,-1.4,-3.5,0.0
2024-12-15 09:00:00,-0.8,96,-1.3,-3.4,0.0
2024-12-15 10:00:00,0.7,89,-0.9,-2.0,0.0
2024-12-15 11:00:00,2.9,79,-0.3,0.3,0.0
2024-12-15 12:00:00,4.2,78,0.7,1.7,0.0
2024-12-15 13:00:00,5.0,76,1.2,2.8,0.0
2024-12-15 14:00:00,4.4,82,1.6,2.0,0.0
2024-12-15 15:00:00,3.5,83,0.9,1.4,0.0
2024-12-15 16:00:00,2.9,86,0.8,0.8,0.0
2024-12-15 17:00:00,1.9,87,0.0,-0.5,0.0
2024-12-15 18:00:00,1.1,87,-0.8,-1.4,0.0
2024-12-15 19:00:00,0.8,84,-1.6,-1.8,0.0
2024-12-15 20:00:00,0.8,82,-1.9,-1.8,0.0
2024-12-15 21:00:00,0.5,81,-2.3,-2.2,0.0
2024-12-15 22:00:00,-0.6,92,-1.7,-3.4,0.0
2024-12-15 23:00:00,-1.2,97,-1.6,-4.0,0.0
2024-12-16 00:00:00,0.4,93,-0.6,-2.5,0.0
2024-12-16 01:00:00,0.6,89,-1.0,-2.2,0.0
2024-12-16 02:00:00,0.6,88,-1.1,-2.1,0.0
2024-12-16 03:00:00,0.7,91,-0.6,-2.0,0.0
2024-12-16 04:00:00,0.3,92,-0.9,-2.4,0.0
2024-12-16 05:00:00,0.2,92,-0.9,-2.5,0.0
2024-12-16 06:00:00,-0.1,94,-1.0,-3.1,0.0
2024-12-16 07:00:00,0.4,89,-1.2,-2.4,0.0
2024-12-16 08:00:00,0.9,85,-1.3,-2.0,0.0
2024-12-16 09:00:00,2.4,78,-1.0,-0.5,0.0
2024-12-16 10:00:00,4.8,71,0.0,2.0,0.0
2024-12-16 11:00:00,6.4,69,1.1,3.6,0.0
2024-12-16 12:00:00,7.4,69,2.1,5.0,0.0
2024-12-16 13:00:00,7.9,70,2.8,5.7,0.0
2024-12-16 14:00:00,7.8,70,2.7,5.8,0.0
2024-12-16 15:00:00,6.7,72,2.0,4.5,0.0
2024-12-16 16:00:00,5.9,75,1.8,3.7,0.0
2024-12-16 17:00:00,5.2,76,1.3,3.0,0.0
2024-12-16 18:00:00,4.2,77,0.6,1.8,0.0
2024-12-16 19:00:00,4.1,78,0.6,1.9,0.0
2024-12-16 20:00:00,3.9,81,1.0,1.7,0.0
2024-12-16 21:00:00,3.5,84,1.0,1.2,0.0
2024-12-16 22:00:00,3.6,82,0.8,1.5,0.0
2024-12-16 23:00:00,3.8,82,1.0,1.7,0.0
2024-12-17 00:00:00,3.4,87,1.4,1.3,0.0
2024-12-17 01:00:00,3.0,88,1.2,0.7,0.0
2024-12-17 02:00:00,3.0,87,1.1,0.7,0.0
2024-12-17 03:00:00,3.1,87,1.1,0.9,0.0
2024-12-17 04:00:00,2.8,88,1.0,0.7,0.0
2024-12-17 05:00:00,2.3,91,1.0,0.1,0.0
2024-12-17 06:00:00,2.9,87,0.9,0.5,0.0
2024-12-17 07:00:00,3.4,84,0.9,0.8,0.0
2024-12-17 08:00:00,2.8,83,0.2,0.3,0.0
2024-12-17 09:00:00,3.6,84,1.2,1.3,0.0
2024-12-17 10:00:00,4.4,83,1.8,2.1,0.0
2024-12-17 11:00:00,6.5,76,2.6,4.5,0.0
2024-12-17 12:00:00,7.6,77,3.9,5.8,0.0
2024-12-17 13:00:00,8.0,77,4.2,6.5,0.0
2024-12-17 14:00:00,8.0,77,4.2,6.3,0.0
2024-12-17 15:00:00,6.0,90,4.5,4.1,0.0
2024-12-17 16:00:00,4.0,95,3.3,2.0,0.0
2024-12-17 17:00:00,2.7,100,2.7,0.4,0.0
2024-12-17 18:00:00,1.9,100,1.9,-0.4,0.0
2024-12-17 19:00:00,1.4,100,1.4,-1.0,0.0
2024-12-17 20:00:00,1.0,100,1.0,-1.3,0.0
2024-12-17 21:00:00,0.8,100,0.8,-1.5,0.0
2024-12-17 22:00:00,0.5,100,0.5,-1.7,0.0
2024-12-17 23:00:00,0.6,100,0.6,-1.9,0.0
