timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14 00:00:00,0.2,85,-2.1,-2.8,0.0
2024-12-14 01:00:00,-0.0,87,-1.9,-3.2,0.0
2024-12-14 02:00:00,-0.1,86,-2.2,-3.4,0.0
2024-12-14 03:00:00,0.1,84,-2.3,-2.6,0.0
2024-12-14 04:00:00,-0.2,89,-1.8,-3.1,0.0
2024-12-14 05:00:00,-0.3,92,-1.5,-3.0,0.0
2024-12-14 06:00:00,-0.2,96,-0.8,-2.7,0.0
2024-12-14 07:00:00,-0.2,96,-0.8,-3.1,0.1
2024-12-14 08:00:00,0.0,93,-1.0,-2.7,0.0
2024-12-14 09:00:00,0.7,90,-0.7,-2.3,0.0
2024-12-14 10:00:00,1.3,87,-0.7,-1.3,0.0
2024-12-14 11:00:00,2.0,84,-0.5,-0.9,0.0
2024-12-14 12:00:00,2.4,81,-0.5,-0.3,0.0
2024-12-14 13:00:00,2.7,81,-0.2,0.1,0.0
2024-12-14 14:00:00,2.8,80,-0.3,0.2,0.0
2024-12-14 15:00:00,2.6,81,-0.4,0.2,0.0
2024-12-14 16:00:00,2.2,85,-0.1,-0.3,0.0
2024-12-14 17:00:00,1.7,88,-0.1,-0.7,0.0
2024-12-14 18:00:00,1.4,90,-0.1,-1.1,0.0
2024-12-14 19:00:00,1.1,93,0.1,-1.4,0.0
2024-12-14 20:00:00,0.8,96,0.2,-1.5,0.0
2024-12-14 21:00:00,0.8,96,0.2,-1.4,0.0
2024-12-14 22:00:00,0.8,97,0.4,-1.4,0.0
2024-12-14 23:00:00,0.2,100,0.2,-2.3,0.0
2024-12-15 00:00:00,-2.7,100,-2.7,-5.5,0.0
2024-12-15 01:00:00,-1.8,100,-1.8,-4.6,0.0
2024-12-15 02:00:00,-2.0,100,-2.0,-4.9,0.0
2024-12-15 03:00:00,0.4,86,-1.7,-2.5,0.0
2024-12-15 04:00:00,0.3,83,-2.3,-2.8,0.0
2024-12-15 05:00:00,-1.1,91,-2.4,-4.4,0.0
2024-12-15 06:00:00,-1.5,97,-1.9,-4.6,0.0
2024-12-15 07:00:00,-1.1,93,-2.1,-4.1,0.0
2024-12-15 08:00:00,0.0,87,-1.9,-2.6,0.0
2024-12-15 09:00:00,-0.1,92,-1.3,-2.6,0.0
2024-12-15 10:00:00,0.5,89,-1.1,-2.1,0.0
2024-12-15 11:00:00,2.6,81,-0.3,-0.2,0.0
2024-12-15 12:00:00,4.0,76,0.2,1.3,0.0
2024-12-15 13:00:00,4.7,78,1.2,2.4,0.0
2024-12-15 14:00:00,3.9,84,1.5,1.7,0.0
2024-12-15 15:00:00,3.4,83,0.8,1.2,0.0
2024-12-15 16:00:00,3.2,84,0.8,0.9,0.0
2024-12-15 17:00:00,1.8,87,-0.2,-0.8,0.0
2024-12-15 18:00:00,1.1,81,-1.8,-1.6,0.0
2024-12-15 19:00:00,1.1,80,-2.0,-1.6,0.0
2024-12-15 20:00:00,0.8,82,-2.0,-1.8,0.0
2024-12-15 21:00:00,0.5,82,-2.2,-2.0,0.0
2024-12-15 22:00:00,0.7,78,-2.7,-2.0,0.0
2024-12-15 23:00:00,-0.7,90,-2.2,-3.6,0.0
