timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14 00:00:00,0.1,85,-2.1,-2.9,0.0
2024-12-14 01:00:00,-0.1,87,-2.0,-3.2,0.0
2024-12-14 02:00:00,-0.2,86,-2.2,-3.4,0.0
2024-12-14 03:00:00,0.1,84,-2.3,-2.7,0.0
2024-12-14 04:00:00,-0.2,89,-1.8,-3.1,0.0
2024-12-14 05:00:00,-0.4,92,-1.5,-3.0,0.0
2024-12-14 06:00:00,-0.3,96,-0.8,-2.8,0.0
2024-12-14 07:00:00,-0.3,96,-0.8,-3.1,0.1
2024-12-14 08:00:00,-0.0,93,-1.0,-2.8,0.0
2024-12-14 09:00:00,0.7,90,-0.8,-2.4,0.0
2024-12-14 10:00:00,1.2,87,-0.7,-1.4,0.0
2024-12-14 11:00:00,1.9,84,-0.5,-1.0,0.0
2024-12-14 12:00:00,2.4,81,-0.6,-0.3,0.0
2024-12-14 13:00:00,2.7,81,-0.3,0.1,0.0
2024-12-14 14:00:00,2.8,80,-0.3,0.2,0.0
2024-12-14 15:00:00,2.5,81,-0.4,0.2,0.0
2024-12-14 16:00:00,2.1,85,-0.1,-0.3,0.0
2024-12-14 17:00:00,1.7,88,-0.1,-0.8,0.0
2024-12-14 18:00:00,1.3,90,-0.1,-1.2,0.0
2024-12-14 19:00:00,1.0,93,0.0,-1.4,0.0
2024-12-14 20:00:00,0.8,96,0.2,-1.5,0.0
2024-12-14 21:00:00,0.7,96,0.2,-1.5,0.0
2024-12-14 22:00:00,0.8,97,0.3,-1.5,0.0
2024-12-14 23:00:00,0.2,100,0.2,-2.4,0.0
2024-12-15 00:00:00,-2.8,100,-2.8,-5.5,0.0
2024-12-15 01:00:00,-1.9,100,-1.9,-4.7,0.0
2024-12-15 02:00:00,-2.0,100,-2.0,-4.9,0.0
2024-12-15 03:00:00,0.4,86,-1.7,-2.5,0.0
2024-12-15 04:00:00,0.2,83,-2.3,-2.8,0.0
2024-12-15 05:00:00,-1.2,91,-2.5,-4.4,0.0
2024-12-15 06:00:00,-1.5,97,-1.9,-4.6,0.0
2024-12-15 07:00:00,-1.1,93,-2.1,-4.2,0.0
2024-12-15 08:00:00,-0.0,87,-1.9,-2.7,0.0
2024-12-15 09:00:00,-0.2,92,-1.3,-2.7,0.0
2024-12-15 10:00:00,0.5,89,-1.1,-2.1,0.0
2024-12-15 11:00:00,2.6,81,-0.4,-0.2,0.0
2024-12-15 12:00:00,4.0,76,0.1,1.2,0.0
2024-12-15 13:00:00,4.7,78,1.2,2.3,0.0
2024-12-15 14:00:00,3.9,84,1.4,1.6,0.0
2024-12-15 15:00:00,3.3,83,0.7,1.2,0.0
2024-12-15 16:00:00,3.2,84,0.7,0.9,0.0
2024-12-15 17:00:00,1.7,87,-0.2,-0.9,0.0
2024-12-15 18:00:00,1.1,81,-1.8,-1.6,0.0
2024-12-15 19:00:00,1.1,80,-2.0,-1.6,0.0
2024-12-15 20:00:00,0.7,82,-2.0,-1.8,0.0
2024-12-15 21:00:00,0.5,82,-2.2,-2.0,0.0
2024-12-15 22:00:00,0.6,78,-2.8,-2.1,0.0
2024-12-15 23:00:00,-0.8,90,-2.2,-3.6,0.0
2024-12-16 00:00:00,-0.1,94,-0.9,-3.0,0.0
2024-12-16 01:00:00,-0.2,97,-0.6,-2.9,0.0
2024-12-16 02:00:00,0.6,88,-1.1,-2.1,0.0
2024-12-16 03:00:00,0.5,92,-0.6,-2.2,0.0
2024-12-16 04:00:00,0.3,91,-1.0,-2.5,0.0
2024-12-16 05:00:00,-0.3,94,-1.1,-3.0,0.0
2024-12-16 06:00:00,-1.5,100,-1.5,-4.3,0.0
2024-12-16 07:00:00,-0.7,94,-1.5,-3.6,0.0
2024-12-16 08:00:00,-0.4,94,-1.2,-3.6,0.0
2024-12-16 09:00:00,-0.0,95,-0.7,-3.0,0.0
2024-12-16 10:00:00,2.4,84,-0.0,-0.4,0.0
2024-12-16 11:00:00,4.4,77,0.7,1.3,0.0
2024-12-16 12:00:00,5.7,78,2.2,3.0,0.0
2024-12-16 13:00:00,6.3,76,2.4,3.9,0.0
2024-12-16 14:00:00,6.7,73,2.2,4.5,0.0
2024-12-16 15:00:00,5.5,78,1.9,3.2,0.0
2024-12-16 16:00:00,4.5,83,1.9,2.1,0.0
2024-12-16 17:00:00,4.4,84,1.9,2.2,0.0
2024-12-16 18:00:00,4.0,86,1.8,1.7,0.0
2024-12-16 19:00:00,2.1,92,0.9,-0.4,0.0
2024-12-16 20:00:00,2.7,91,1.3,0.3,0.0
2024-12-16 21:00:00,3.1,90,1.6,0.7,0.0
2024-12-16 22:00:00,3.0,90,1.5,0.7,0.0
2024-12-16 23:00:00,3.7,84,1.3,1.5,0.0
