number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,10,11,OPEN,1734188509000,46.554703,15.652826,2024-12-14 16:01:49
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,15,6,OPEN,1734261246000,46.554703,15.652826,2024-12-15 12:14:06
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,15,6,OPEN,1734261850000,46.554703,15.652826,2024-12-15 12:24:10
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,15,6,OPEN,1734262454000,46.554703,15.652826,2024-12-15 12:34:14
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,15,6,OPEN,1734267286000,46.554703,15.652826,2024-12-15 13:54:46
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,10,11,OPEN,1734354461000,46.554703,15.652826,2024-12-16 14:07:41
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,11,10,OPEN,1734356267000,46.554703,15.652826,2024-12-16 14:37:47
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,10,11,OPEN,1734357480000,46.554703,15.652826,2024-12-16 14:58:00
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,8,13,OPEN,1734362227000,46.554703,15.652826,2024-12-16 16:17:07
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1734362950000,46.554703,15.652826,2024-12-16 15:29:10
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,1,20,OPEN,1734366812000,46.554703,15.652826,2024-12-16 16:33:32
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,0,21,OPEN,1734368614000,46.554703,15.652826,2024-12-16 17:03:34
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,3,18,OPEN,1734369632000,46.554703,15.652826,2024-12-16 17:20:32
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,0,21,OPEN,1734373877000,46.554703,15.652826,2024-12-16 18:31:17
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,1,20,OPEN,1734376907000,46.554703,15.652826,2024-12-16 19:21:47
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,2,19,OPEN,1734380540000,46.554703,15.652826,2024-12-16 20:22:20
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,2,19,OPEN,1734384171000,46.554703,15.652826,2024-12-16 21:22:51
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,2,19,OPEN,1734388409000,46.554703,15.652826,2024-12-16 22:33:29
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,2,19,OPEN,1734391435000,46.554703,15.652826,2024-12-16 23:23:55
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,2,19,OPEN,1734400517000,46.554703,15.652826,2024-12-17 01:55:17
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,2,19,OPEN,1734404449000,46.554703,15.652826,2024-12-17 03:00:49
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,2,19,OPEN,1734406865000,46.554703,15.652826,2024-12-17 03:41:05
