number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,9,11,OPEN,1734188425000,46.554741,15.659814,2024-12-14 16:00:25
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,6,14,OPEN,1734261248000,46.554741,15.659814,2024-12-15 12:14:08
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,6,14,OPEN,1734262170000,46.554741,15.659814,2024-12-15 12:29:30
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,6,14,OPEN,1734262773000,46.554741,15.659814,2024-12-15 12:39:33
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,6,14,OPEN,1734266998000,46.554741,15.659814,2024-12-15 13:49:58
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,7,13,OPEN,1734354125000,46.554741,15.659814,2024-12-16 14:02:05
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,5,15,OPEN,1734356292000,46.554741,15.659814,2024-12-16 14:38:12
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,7,13,OPEN,1734357520000,46.554741,15.659814,2024-12-16 14:58:40
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,5,15,OPEN,1734362040000,46.554741,15.659814,2024-12-16 16:14:00
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,5,15,OPEN,1734362643000,46.554741,15.659814,2024-12-16 15:24:03
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,8,12,OPEN,1734366872000,46.554741,15.659814,2024-12-16 16:34:32
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,9,11,OPEN,1734368685000,46.554741,15.659814,2024-12-16 17:04:45
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,8,12,OPEN,1734370145000,46.554741,15.659814,2024-12-16 17:29:05
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,7,13,OPEN,1734374119000,46.554741,15.659814,2024-12-16 18:35:19
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,7,13,OPEN,1734376614000,46.554741,15.659814,2024-12-16 19:16:54
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,5,15,OPEN,1734380763000,46.554741,15.659814,2024-12-16 20:26:03
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,5,15,OPEN,1734384385000,46.554741,15.659814,2024-12-16 21:26:25
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,1,19,OPEN,1734388002000,46.554741,15.659814,2024-12-16 22:26:42
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,1,19,OPEN,1734391621000,46.554741,15.659814,2024-12-16 23:27:01
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,1,19,OPEN,1734400674000,46.554741,15.659814,2024-12-17 01:57:54
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1734404323000,46.554741,15.659814,2024-12-17 02:58:43
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1734406739000,46.554741,15.659814,2024-12-17 03:38:59
