number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,13,7,OPEN,1734188158000,46.548853,15.645591,2024-12-14 15:55:58
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,12,8,OPEN,1734261209000,46.548853,15.645591,2024-12-15 12:13:29
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,12,8,OPEN,1734261813000,46.548853,15.645591,2024-12-15 12:23:33
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,11,9,OPEN,1734262743000,46.548853,15.645591,2024-12-15 12:39:03
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,12,8,OPEN,1734267247000,46.548853,15.645591,2024-12-15 13:54:07
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,20,0,OPEN,1734354430000,46.548853,15.645591,2024-12-16 14:07:10
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734356478000,46.548853,15.645591,2024-12-16 14:41:18
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,17,3,OPEN,1734357461000,46.548853,15.645591,2024-12-16 14:57:41
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,18,2,OPEN,1734362318000,46.548853,15.645591,2024-12-16 16:18:38
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,13,7,OPEN,1734362925000,46.548853,15.645591,2024-12-16 15:28:45
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,17,3,OPEN,1734366800000,46.548853,15.645591,2024-12-16 16:33:20
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,18,2,OPEN,1734368676000,46.548853,15.645591,2024-12-16 17:04:36
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734369600000,46.548853,15.645591,2024-12-16 17:20:00
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,18,2,OPEN,1734373843000,46.548853,15.645591,2024-12-16 18:30:43
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734376874000,46.548853,15.645591,2024-12-16 19:21:14
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,20,0,OPEN,1734380845000,46.548853,15.645591,2024-12-16 20:27:25
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734384145000,46.548853,15.645591,2024-12-16 21:22:25
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,20,0,OPEN,1734388382000,46.548853,15.645591,2024-12-16 22:33:02
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734391407000,46.548853,15.645591,2024-12-16 23:23:27
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,18,2,OPEN,1734400485000,46.548853,15.645591,2024-12-17 01:54:45
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734404450000,46.548853,15.645591,2024-12-17 03:00:50
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734406865000,46.548853,15.645591,2024-12-17 03:41:05
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734409885000,46.548853,15.645591,2024-12-17 04:31:25
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,17,3,OPEN,1734413511000,46.548853,15.645591,2024-12-17 05:31:51
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,20,0,OPEN,1734417153000,46.548853,15.645591,2024-12-17 06:32:33
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,13,7,OPEN,1734420179000,46.548853,15.645591,2024-12-17 07:22:59
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,9,11,OPEN,1734424564000,46.548853,15.645591,2024-12-17 08:36:04
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,14,6,OPEN,1734427482000,46.548853,15.645591,2024-12-17 09:24:42
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,12,8,OPEN,1734431686000,46.548853,15.645591,2024-12-17 10:34:46
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,14,6,OPEN,1734434716000,46.548853,15.645591,2024-12-17 11:25:16
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,18,2,OPEN,1734439795000,46.548853,15.645591,2024-12-17 12:49:55
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,18,2,OPEN,1734442595000,46.548853,15.645591,2024-12-17 13:36:35
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,20,0,OPEN,1734445625000,46.548853,15.645591,2024-12-17 14:27:05
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,19,1,OPEN,1734449253000,46.548853,15.645591,2024-12-17 15:27:33
