number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,1,19,OPEN,1734188069000,46.558519,15.649072,2024-12-14 15:54:29
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,0,20,OPEN,1734260711000,46.558519,15.649072,2024-12-15 12:05:11
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,0,20,OPEN,1734261314000,46.558519,15.649072,2024-12-15 12:15:14
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,0,20,OPEN,1734261918000,46.558519,15.649072,2024-12-15 12:25:18
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,0,20,OPEN,1734262522000,46.558519,15.649072,2024-12-15 12:35:22
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,0,20,OPEN,1734267351000,46.558519,15.649072,2024-12-15 13:55:51
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,2,18,OPEN,1734354405000,46.558519,15.649072,2024-12-16 14:06:45
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,0,20,OPEN,1734356234000,46.558519,15.649072,2024-12-16 14:37:14
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,1,19,OPEN,1734357335000,46.558519,15.649072,2024-12-16 14:55:35
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,8,12,OPEN,1734362188000,46.558519,15.649072,2024-12-16 16:16:28
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,8,12,OPEN,1734362793000,46.558519,15.649072,2024-12-16 15:26:33
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,10,10,OPEN,1734367026000,46.558519,15.649072,2024-12-16 16:37:06
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,9,11,OPEN,1734368430000,46.558519,15.649072,2024-12-16 17:00:30
9,maribor,OTP BANKA - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,9,11,OPEN,1734370051000,46.558519,15.649072,2024-12-16 17:27:31
