number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,14,6,OPEN,1734188241000,46.558924,15.644443,2024-12-14 15:57:21
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,7,13,OPEN,1734261209000,46.558924,15.644443,2024-12-15 12:13:29
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,7,13,OPEN,1734261813000,46.558924,15.644443,2024-12-15 12:23:33
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,7,13,OPEN,1734262416000,46.558924,15.644443,2024-12-15 12:33:36
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,9,11,OPEN,1734267246000,46.558924,15.644443,2024-12-15 13:54:06
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,5,15,OPEN,1734354453000,46.558924,15.644443,2024-12-16 14:07:33
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,7,13,OPEN,1734356379000,46.558924,15.644443,2024-12-16 14:39:39
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,7,13,OPEN,1734357554000,46.558924,15.644443,2024-12-16 14:59:14
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,15,5,OPEN,1734362181000,46.558924,15.644443,2024-12-16 16:16:21
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,15,5,OPEN,1734362788000,46.558924,15.644443,2024-12-16 15:26:28
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734367029000,46.558924,15.644443,2024-12-16 16:37:09
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,17,2,OPEN,1734368762000,46.558924,15.644443,2024-12-16 17:06:02
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,15,4,OPEN,1734370059000,46.558924,15.644443,2024-12-16 17:27:39
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734374291000,46.558924,15.644443,2024-12-16 18:38:11
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,15,4,OPEN,1734376905000,46.558924,15.644443,2024-12-16 19:21:45
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,15,4,OPEN,1734380943000,46.558924,15.644443,2024-12-16 20:29:03
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,19,0,OPEN,1734383973000,46.558924,15.644443,2024-12-16 21:19:33
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734388196000,46.558924,15.644443,2024-12-16 22:29:56
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734391213000,46.558924,15.644443,2024-12-16 23:20:13
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734400860000,46.558924,15.644443,2024-12-17 02:01:00
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734404453000,46.558924,15.644443,2024-12-17 03:00:53
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,19,0,OPEN,1734406877000,46.558924,15.644443,2024-12-17 03:41:17
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734410051000,46.558924,15.644443,2024-12-17 04:34:11
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,18,1,OPEN,1734413539000,46.558924,15.644443,2024-12-17 05:32:19
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,15,4,OPEN,1734417169000,46.558924,15.644443,2024-12-17 06:32:49
