number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,8,12,OPEN,1734188532000,46.557328,15.646833,2024-12-14 16:02:12
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,20,0,OPEN,1734260757000,46.557328,15.646833,2024-12-15 12:05:57
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,20,0,OPEN,1734261360000,46.557328,15.646833,2024-12-15 12:16:00
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,20,0,OPEN,1734261964000,46.557328,15.646833,2024-12-15 12:26:04
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,20,0,OPEN,1734262568000,46.557328,15.646833,2024-12-15 12:36:08
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,16,4,OPEN,1734267405000,46.557328,15.646833,2024-12-15 13:56:45
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,6,14,OPEN,1734354378000,46.557328,15.646833,2024-12-16 14:06:18
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,1,19,OPEN,1734356300000,46.557328,15.646833,2024-12-16 14:38:20
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,0,20,OPEN,1734357565000,46.557328,15.646833,2024-12-16 14:59:25
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,19,1,OPEN,1734362298000,46.557328,15.646833,2024-12-16 16:18:18
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,20,0,OPEN,1734362875000,46.557328,15.646833,2024-12-16 15:27:55
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,19,1,OPEN,1734367108000,46.557328,15.646833,2024-12-16 16:38:28
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,19,1,OPEN,1734368736000,46.557328,15.646833,2024-12-16 17:05:36
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,16,4,OPEN,1734370140000,46.557328,15.646833,2024-12-16 17:29:00
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,14,6,OPEN,1734373775000,46.557328,15.646833,2024-12-16 18:29:35
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,15,5,OPEN,1734376802000,46.557328,15.646833,2024-12-16 19:20:02
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,17,3,OPEN,1734381037000,46.557328,15.646833,2024-12-16 20:30:37
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,20,0,OPEN,1734384399000,46.557328,15.646833,2024-12-16 21:26:39
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,18,2,OPEN,1734388291000,46.557328,15.646833,2024-12-16 22:31:31
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,18,2,OPEN,1734391313000,46.557328,15.646833,2024-12-16 23:21:53
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,15,5,OPEN,1734400962000,46.557328,15.646833,2024-12-17 02:02:42
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,15,5,OPEN,1734404449000,46.557328,15.646833,2024-12-17 03:00:49
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,16,4,OPEN,1734406866000,46.557328,15.646833,2024-12-17 03:41:06
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,15,5,OPEN,1734409889000,46.557328,15.646833,2024-12-17 04:31:29
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,13,7,OPEN,1734413516000,46.557328,15.646833,2024-12-17 05:31:56
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,4,16,OPEN,1734417478000,46.557328,15.646833,2024-12-17 06:37:58
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,0,20,OPEN,1734420191000,46.557328,15.646833,2024-12-17 07:23:11
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,4,14,OPEN,1734424317000,46.557328,15.646833,2024-12-17 08:31:57
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,5,14,OPEN,1734427634000,46.557328,15.646833,2024-12-17 09:27:14
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,6,13,OPEN,1734431706000,46.557328,15.646833,2024-12-17 10:35:06
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,6,13,OPEN,1734434661000,46.557328,15.646833,2024-12-17 11:24:21
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,2,17,OPEN,1734440125000,46.557328,15.646833,2024-12-17 12:55:25
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,4,16,OPEN,1734442653000,46.557328,15.646833,2024-12-17 13:37:33
