number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,13,7,OPEN,1734188539000,46.552652,15.646023,2024-12-14 16:02:19
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,1,19,OPEN,1734260715000,46.552652,15.646023,2024-12-15 12:05:15
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,1,19,OPEN,1734261320000,46.552652,15.646023,2024-12-15 12:15:20
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,1,19,OPEN,1734261924000,46.552652,15.646023,2024-12-15 12:25:24
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,0,20,OPEN,1734262888000,46.552652,15.646023,2024-12-15 12:41:28
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,5,15,OPEN,1734267406000,46.552652,15.646023,2024-12-15 13:56:46
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,10,10,OPEN,1734354382000,46.552652,15.646023,2024-12-16 14:06:22
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,12,8,OPEN,1734356481000,46.552652,15.646023,2024-12-16 14:41:21
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,19,1,OPEN,1734357637000,46.552652,15.646023,2024-12-16 15:00:37
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,19,1,OPEN,1734362306000,46.552652,15.646023,2024-12-16 16:18:26
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,19,1,OPEN,1734362871000,46.552652,15.646023,2024-12-16 15:27:51
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,19,1,OPEN,1734367114000,46.552652,15.646023,2024-12-16 16:38:34
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,False,False,20,18,2,OPEN,1734368509000,46.552652,15.646023,2024-12-16 17:01:49
