number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,6,14,OPEN,1734188606000,46.556731,15.64212,2024-12-14 16:03:26
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,1,19,OPEN,1734261031000,46.556731,15.64212,2024-12-15 12:10:31
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,1734262240000,46.556731,15.64212,2024-12-15 12:30:40
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,4,16,OPEN,1734262845000,46.556731,15.64212,2024-12-15 12:40:45
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,1734267305000,46.556731,15.64212,2024-12-15 13:55:05
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,3,17,OPEN,1734353991000,46.556731,15.64212,2024-12-16 13:59:51
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,4,16,OPEN,1734356410000,46.556731,15.64212,2024-12-16 14:40:10
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,1734357620000,46.556731,15.64212,2024-12-16 15:00:20
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,1734362225000,46.556731,15.64212,2024-12-16 16:17:05
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,1734362452000,46.556731,15.64212,2024-12-16 15:20:52
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,1,19,OPEN,1734366678000,46.556731,15.64212,2024-12-16 16:31:18
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,1,19,OPEN,1734368489000,46.556731,15.64212,2024-12-16 17:01:29
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,0,20,OPEN,1734369742000,46.556731,15.64212,2024-12-16 17:22:22
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,1734374054000,46.556731,15.64212,2024-12-16 18:34:14
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,1734376945000,46.556731,15.64212,2024-12-16 19:22:25
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,0,20,OPEN,1734380569000,46.556731,15.64212,2024-12-16 20:22:49
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,0,20,OPEN,1734384192000,46.556731,15.64212,2024-12-16 21:23:12
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,0,20,OPEN,1734388412000,46.556731,15.64212,2024-12-16 22:33:32
