timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2025-01-06T00:00,4.7,76,0.8,2.0,0.0
2025-01-06T01:00,6.6,70,1.5,4.1,0.0
2025-01-06T02:00,5.8,79,2.4,3.2,0.0
2025-01-06T03:00,3.4,82,0.6,0.9,0.0
2025-01-06T04:00,5.3,77,1.5,2.7,0.0
2025-01-06T05:00,8.8,61,1.6,6.5,0.0
2025-01-06T06:00,11.6,56,3.1,8.3,0.0
2025-01-06T07:00,12.1,58,4.1,7.6,0.0
2025-01-06T08:00,12.3,58,4.3,7.5,0.0
2025-01-06T09:00,12.2,59,4.4,8.6,0.0
2025-01-06T10:00,12.4,58,4.4,8.0,0.0
2025-01-06T11:00,12.4,59,4.6,5.9,0.0
2025-01-06T12:00,12.2,63,5.3,7.3,0.0
2025-01-06T13:00,12.4,61,5.0,8.9,0.0
2025-01-06T14:00,12.1,60,4.5,8.6,0.0
2025-01-06T15:00,11.2,63,4.4,8.3,0.0
2025-01-06T16:00,10.1,69,4.7,7.8,0.0
2025-01-06T17:00,9.2,72,4.4,6.8,0.0
2025-01-06T18:00,9.6,68,3.9,7.2,0.0
2025-01-06T19:00,10.3,64,3.7,7.8,0.0
2025-01-06T20:00,10.5,64,3.9,7.5,0.0
2025-01-06T21:00,9.3,77,5.4,5.3,0.0
2025-01-06T22:00,8.8,83,6.0,4.3,0.0
2025-01-06T23:00,8.6,85,6.2,4.7,0.0
