timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14T00:00,-0.0,87,-1.9,-2.9,0.0
2024-12-14T01:00,-0.6,92,-1.8,-3.5,0.0
2024-12-14T02:00,-0.3,90,-1.8,-3.0,0.0
2024-12-14T03:00,-0.1,87,-2.0,-2.7,0.0
2024-12-14T04:00,-0.5,92,-1.6,-3.3,0.0
2024-12-14T05:00,-0.5,92,-1.6,-3.0,0.0
2024-12-14T06:00,-0.4,95,-1.1,-2.9,0.0
2024-12-14T07:00,-0.3,96,-0.9,-3.1,0.1
2024-12-14T08:00,-0.2,93,-1.2,-2.6,0.0
2024-12-14T09:00,0.8,90,-0.7,-2.2,0.0
2024-12-14T10:00,1.3,89,-0.4,-1.3,0.0
2024-12-14T11:00,2.0,86,-0.1,-0.6,0.0
2024-12-14T12:00,2.3,83,-0.3,-0.6,0.0
2024-12-14T13:00,2.6,82,-0.2,-0.1,0.0
2024-12-14T14:00,2.7,82,-0.1,0.2,0.0
2024-12-14T15:00,2.5,84,0.0,-0.0,0.0
2024-12-14T16:00,1.9,87,-0.1,-0.7,0.0
2024-12-14T17:00,1.3,89,-0.3,-1.2,0.0
2024-12-14T18:00,0.7,93,-0.3,-1.9,0.0
2024-12-14T19:00,0.4,96,-0.2,-2.2,0.0
2024-12-14T20:00,0.3,98,0.0,-2.3,0.0
2024-12-14T21:00,0.2,100,0.2,-2.2,0.0
2024-12-14T22:00,0.3,98,0.0,-2.1,0.0
2024-12-14T23:00,0.3,95,-0.4,-2.3,0.0
2024-12-15T00:00,-0.4,95,-1.1,-3.1,0.0
2024-12-15T01:00,0.7,87,-1.3,-2.2,0.0
2024-12-15T02:00,-0.0,91,-1.3,-2.9,0.0
2024-12-15T03:00,0.2,86,-1.9,-3.1,0.0
2024-12-15T04:00,0.8,83,-1.8,-2.5,0.0
2024-12-15T05:00,-0.4,88,-2.2,-3.5,0.0
2024-12-15T06:00,-2.1,98,-2.4,-5.2,0.0
2024-12-15T07:00,-1.9,97,-2.3,-4.9,0.0
2024-12-15T08:00,-0.6,94,-1.4,-3.2,0.0
2024-12-15T09:00,0.2,92,-1.0,-2.3,0.0
2024-12-15T10:00,1.7,92,0.5,-0.5,0.0
2024-12-15T11:00,3.2,85,0.9,1.0,0.0
2024-12-15T12:00,4.2,80,1.0,1.6,0.0
2024-12-15T13:00,4.5,79,1.1,1.9,0.0
2024-12-15T14:00,4.6,79,1.3,2.5,0.0
2024-12-15T15:00,3.4,82,0.6,1.3,0.0
2024-12-15T16:00,2.4,82,-0.4,-0.2,0.0
2024-12-15T17:00,0.6,85,-1.7,-2.3,0.0
2024-12-15T18:00,0.3,83,-2.2,-2.5,0.0
2024-12-15T19:00,0.1,84,-2.3,-2.7,0.0
2024-12-15T20:00,0.2,82,-2.6,-2.7,0.0
2024-12-15T21:00,0.2,81,-2.7,-2.6,0.0
2024-12-15T22:00,0.5,78,-2.9,-2.5,0.0
2024-12-15T23:00,0.5,79,-2.8,-2.3,0.0
