timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2025-01-06T00:00,2.6,82,-0.2,0.4,0.0
2025-01-06T01:00,3.7,78,0.2,0.9,0.0
2025-01-06T02:00,6.1,75,2.0,3.5,0.0
2025-01-06T03:00,6.2,72,1.5,4.0,0.0
2025-01-06T04:00,5.8,78,2.3,3.2,0.0
2025-01-06T05:00,7.6,70,2.5,5.5,0.0
2025-01-06T06:00,9.9,67,4.1,7.5,0.0
2025-01-06T07:00,10.4,66,4.3,7.6,0.0
2025-01-06T08:00,11.2,62,4.1,8.5,0.0
2025-01-06T09:00,11.4,63,4.6,8.7,0.0
2025-01-06T10:00,11.9,61,4.6,8.4,0.0
2025-01-06T11:00,12.6,58,4.5,8.9,0.0
2025-01-06T12:00,12.2,63,5.3,8.4,0.0
2025-01-06T13:00,12.5,60,5.0,9.8,0.0
2025-01-06T14:00,11.9,60,4.3,9.1,0.0
2025-01-06T15:00,10.0,71,4.9,7.4,0.0
2025-01-06T16:00,8.9,78,5.3,6.3,0.0
2025-01-06T17:00,8.4,81,5.3,5.7,0.0
2025-01-06T18:00,8.2,82,5.3,5.5,0.0
2025-01-06T19:00,7.7,83,5.0,5.1,0.0
2025-01-06T20:00,7.4,85,5.0,5.0,0.0
2025-01-06T21:00,7.9,84,5.4,5.5,0.0
2025-01-06T22:00,8.7,84,6.1,5.2,0.0
2025-01-06T23:00,9.1,82,6.2,5.0,0.0
