timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2025-01-06T00:00,3.2,83,0.6,0.3,0.0
2025-01-06T01:00,4.7,76,0.9,2.2,0.0
2025-01-06T02:00,5.0,78,1.5,2.5,0.0
2025-01-06T03:00,4.5,75,0.5,1.9,0.0
2025-01-06T04:00,3.7,79,0.4,1.1,0.0
2025-01-06T05:00,4.1,79,0.8,1.0,0.0
2025-01-06T06:00,8.6,62,1.8,5.5,0.0
2025-01-06T07:00,11.2,57,3.0,9.3,0.0
2025-01-06T08:00,11.6,58,3.6,9.2,0.0
2025-01-06T09:00,11.4,60,4.0,9.7,0.0
2025-01-06T10:00,12.2,56,3.7,9.7,0.0
2025-01-06T11:00,12.9,54,3.8,9.3,0.0
2025-01-06T12:00,13.0,56,4.4,10.0,0.0
2025-01-06T13:00,12.7,57,4.4,10.4,0.0
2025-01-06T14:00,12.1,57,3.8,10.0,0.0
2025-01-06T15:00,10.5,63,3.8,8.3,0.0
2025-01-06T16:00,8.1,77,4.3,5.5,0.0
2025-01-06T17:00,7.6,80,4.4,5.1,0.0
2025-01-06T18:00,7.6,79,4.2,5.2,0.0
2025-01-06T19:00,7.2,80,4.0,4.7,0.0
2025-01-06T20:00,7.0,81,4.0,4.7,0.0
2025-01-06T21:00,6.8,83,4.1,4.7,0.0
2025-01-06T22:00,7.6,82,4.8,5.7,0.0
2025-01-06T23:00,8.5,82,5.6,5.1,0.0
