timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2025-01-06T00:00,3.4,83,0.8,0.5,0.0
2025-01-06T01:00,4.9,76,1.0,2.3,0.0
2025-01-06T02:00,5.2,78,1.7,2.7,0.0
2025-01-06T03:00,4.6,75,0.6,2.0,0.0
2025-01-06T04:00,3.8,79,0.5,1.2,0.0
2025-01-06T05:00,4.2,79,0.9,1.2,0.0
2025-01-06T06:00,8.8,62,1.9,5.6,0.0
2025-01-06T07:00,11.4,57,3.2,9.5,0.0
2025-01-06T08:00,11.7,58,3.7,9.3,0.0
2025-01-06T09:00,11.6,60,4.1,9.8,0.0
2025-01-06T10:00,12.3,56,3.8,9.8,0.0
2025-01-06T11:00,13.0,54,3.9,9.4,0.0
2025-01-06T12:00,13.1,56,4.5,10.2,0.0
2025-01-06T13:00,12.9,57,4.6,10.5,0.0
2025-01-06T14:00,12.2,57,4.0,10.2,0.0
2025-01-06T15:00,10.7,63,3.9,8.5,0.0
2025-01-06T16:00,8.2,77,4.4,5.7,0.0
2025-01-06T17:00,7.7,80,4.5,5.2,0.0
2025-01-06T18:00,7.7,79,4.3,5.3,0.0
2025-01-06T19:00,7.4,80,4.2,4.9,0.0
2025-01-06T20:00,7.2,81,4.1,4.8,0.0
2025-01-06T21:00,6.9,83,4.2,4.8,0.0
2025-01-06T22:00,7.8,82,4.9,5.9,0.0
2025-01-06T23:00,8.7,82,5.8,5.3,0.0
