timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-22T00:00,-3.6,88,-5.3,-6.7,0.0
2024-12-22T01:00,-3.8,91,-5.1,-7.1,0.0
2024-12-22T02:00,-3.8,91,-5.0,-6.8,0.0
2024-12-22T03:00,-3.0,87,-4.9,-6.1,0.0
2024-12-22T04:00,-3.0,87,-4.8,-6.0,0.0
2024-12-22T05:00,-2.8,85,-4.9,-5.9,0.0
2024-12-22T06:00,-2.2,82,-4.8,-5.4,0.0
2024-12-22T07:00,-1.8,81,-4.6,-4.9,0.0
2024-12-22T08:00,-0.9,77,-4.4,-4.1,0.0
2024-12-22T09:00,1.2,76,-2.6,-1.7,0.0
2024-12-22T10:00,3.3,72,-1.3,0.6,0.0
2024-12-22T11:00,4.2,68,-1.1,1.3,0.0
2024-12-22T12:00,4.2,67,-1.4,1.4,0.0
2024-12-22T13:00,3.7,73,-0.7,1.0,0.0
2024-12-22T14:00,4.8,72,0.1,1.4,0.0
2024-12-22T15:00,2.7,81,-0.2,-0.2,0.0
2024-12-22T16:00,2.8,77,-0.8,0.6,0.0
2024-12-22T17:00,3.8,78,0.3,1.3,0.0
2024-12-22T18:00,2.9,85,0.6,0.3,0.0
2024-12-22T19:00,2.7,89,1.0,0.3,0.3
2024-12-22T20:00,2.5,91,1.2,0.0,1.2
2024-12-22T21:00,1.5,95,0.7,-1.6,2.2
2024-12-22T22:00,1.6,93,0.6,-1.2,0.0
2024-12-22T23:00,1.5,94,0.7,-1.2,0.0
