timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2025-01-06T00:00,2.6,82,-0.2,0.3,0.0
2025-01-06T01:00,3.7,78,0.2,0.9,0.0
2025-01-06T02:00,6.1,75,2.0,3.5,0.0
2025-01-06T03:00,6.2,72,1.5,4.0,0.0
2025-01-06T04:00,5.8,78,2.2,3.2,0.0
2025-01-06T05:00,7.6,70,2.5,5.5,0.0
2025-01-06T06:00,9.9,67,4.0,7.4,0.0
2025-01-06T07:00,10.3,66,4.3,7.5,0.0
2025-01-06T08:00,11.1,62,4.1,8.5,0.0
2025-01-06T09:00,11.3,63,4.5,8.6,0.0
2025-01-06T10:00,11.8,61,4.6,8.4,0.0
2025-01-06T11:00,12.5,58,4.5,8.8,0.0
2025-01-06T12:00,12.1,63,5.3,8.4,0.0
2025-01-06T13:00,12.5,60,4.9,9.8,0.0
2025-01-06T14:00,11.8,60,4.3,9.0,0.0
2025-01-06T15:00,9.9,71,4.9,7.4,0.0
2025-01-06T16:00,8.9,78,5.3,6.2,0.0
2025-01-06T17:00,8.4,81,5.3,5.7,0.0
2025-01-06T18:00,8.1,82,5.3,5.5,0.0
2025-01-06T19:00,7.6,83,4.9,5.1,0.0
2025-01-06T20:00,7.3,85,5.0,5.0,0.0
2025-01-06T21:00,7.9,84,5.4,5.5,0.0
2025-01-06T22:00,8.6,84,6.1,5.2,0.0
2025-01-06T23:00,9.1,82,6.2,4.9,0.0
