timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14T00:00,0.2,85,-2.1,-2.8,0.0
2024-12-14T01:00,-0.0,87,-1.9,-3.2,0.0
2024-12-14T02:00,-0.1,86,-2.2,-3.4,0.0
2024-12-14T03:00,0.1,84,-2.3,-2.6,0.0
2024-12-14T04:00,-0.2,89,-1.8,-3.1,0.0
2024-12-14T05:00,-0.3,92,-1.5,-3.0,0.0
2024-12-14T06:00,-0.2,96,-0.8,-2.7,0.0
2024-12-14T07:00,-0.2,96,-0.8,-3.1,0.1
2024-12-14T08:00,0.0,93,-1.0,-2.7,0.0
2024-12-14T09:00,0.7,90,-0.7,-2.3,0.0
2024-12-14T10:00,1.3,87,-0.7,-1.3,0.0
2024-12-14T11:00,2.0,84,-0.5,-0.9,0.0
2024-12-14T12:00,2.4,81,-0.5,-0.3,0.0
2024-12-14T13:00,2.7,81,-0.2,0.1,0.0
2024-12-14T14:00,2.8,80,-0.3,0.2,0.0
2024-12-14T15:00,2.6,81,-0.4,0.2,0.0
2024-12-14T16:00,2.2,85,-0.1,-0.3,0.0
2024-12-14T17:00,1.7,88,-0.1,-0.7,0.0
2024-12-14T18:00,1.4,90,-0.1,-1.1,0.0
2024-12-14T19:00,1.1,93,0.1,-1.4,0.0
2024-12-14T20:00,0.8,96,0.2,-1.5,0.0
2024-12-14T21:00,0.8,96,0.2,-1.4,0.0
2024-12-14T22:00,0.8,97,0.4,-1.4,0.0
2024-12-14T23:00,0.2,100,0.2,-2.3,0.0
2024-12-15T00:00,-2.7,100,-2.7,-5.5,0.0
2024-12-15T01:00,-1.8,100,-1.8,-4.6,0.0
2024-12-15T02:00,-2.0,100,-2.0,-4.9,0.0
2024-12-15T03:00,0.4,86,-1.7,-2.5,0.0
2024-12-15T04:00,0.3,83,-2.3,-2.8,0.0
2024-12-15T05:00,-1.1,91,-2.4,-4.4,0.0
2024-12-15T06:00,-1.5,97,-1.9,-4.6,0.0
2024-12-15T07:00,-1.1,93,-2.1,-4.1,0.0
2024-12-15T08:00,0.0,87,-1.9,-2.6,0.0
2024-12-15T09:00,-0.1,92,-1.3,-2.6,0.0
2024-12-15T10:00,0.5,89,-1.1,-2.1,0.0
2024-12-15T11:00,2.6,81,-0.3,-0.2,0.0
2024-12-15T12:00,4.0,76,0.2,1.3,0.0
2024-12-15T13:00,4.7,78,1.2,2.4,0.0
2024-12-15T14:00,3.9,84,1.5,1.7,0.0
2024-12-15T15:00,3.4,83,0.8,1.2,0.0
2024-12-15T16:00,3.2,84,0.8,0.9,0.0
2024-12-15T17:00,1.8,87,-0.2,-0.8,0.0
2024-12-15T18:00,1.1,81,-1.8,-1.6,0.0
2024-12-15T19:00,1.1,80,-2.0,-1.6,0.0
2024-12-15T20:00,0.8,82,-2.0,-1.8,0.0
2024-12-15T21:00,0.5,82,-2.2,-2.0,0.0
2024-12-15T22:00,0.7,78,-2.7,-2.0,0.0
2024-12-15T23:00,-0.7,90,-2.2,-3.6,0.0
2024-12-16T00:00,-0.0,94,-0.9,-2.9,0.0
2024-12-16T01:00,-0.1,97,-0.6,-2.9,0.0
2024-12-16T02:00,0.7,88,-1.1,-2.0,0.0
2024-12-16T03:00,0.6,92,-0.6,-2.1,0.0
2024-12-16T04:00,0.4,91,-0.9,-2.5,0.0
2024-12-16T05:00,-0.2,94,-1.1,-2.9,0.0
2024-12-16T06:00,-1.4,100,-1.4,-4.3,0.0
2024-12-16T07:00,-0.6,94,-1.5,-3.5,0.0
2024-12-16T08:00,-0.3,94,-1.2,-3.6,0.0
2024-12-16T09:00,0.0,95,-0.7,-3.0,0.0
2024-12-16T10:00,2.5,84,0.0,-0.3,0.0
2024-12-16T11:00,4.4,77,0.7,1.3,0.0
2024-12-16T12:00,5.8,78,2.2,3.1,0.0
2024-12-16T13:00,6.4,76,2.4,3.9,0.0
2024-12-16T14:00,6.8,73,2.3,4.6,0.0
2024-12-16T15:00,5.5,78,2.0,3.2,0.0
2024-12-16T16:00,4.6,83,1.9,2.1,0.0
2024-12-16T17:00,4.5,84,2.0,2.3,0.0
2024-12-16T18:00,4.0,86,1.9,1.8,0.0
2024-12-16T19:00,2.1,92,0.9,-0.3,0.0
2024-12-16T20:00,2.7,91,1.4,0.4,0.0
2024-12-16T21:00,3.2,90,1.7,0.7,0.0
2024-12-16T22:00,3.0,90,1.5,0.7,0.0
2024-12-16T23:00,3.8,84,1.3,1.6,0.0
2024-12-17T00:00,3.2,88,1.4,1.0,0.0
2024-12-17T01:00,2.5,93,1.5,0.1,0.0
2024-12-17T02:00,2.0,94,1.1,-0.7,0.0
2024-12-17T03:00,2.3,93,1.3,-0.2,0.0
2024-12-17T04:00,2.7,90,1.2,0.3,0.0
2024-12-17T05:00,2.0,93,1.0,-0.4,0.0
2024-12-17T06:00,2.8,89,1.1,0.6,0.0
2024-12-17T07:00,4.4,76,0.6,1.9,0.0
2024-12-17T08:00,3.8,76,-0.0,1.2,0.0
2024-12-17T09:00,2.6,92,1.4,-0.1,0.0
2024-12-17T10:00,4.9,86,2.7,2.9,0.0
2024-12-17T11:00,6.0,82,3.2,4.2,0.0
2024-12-17T12:00,7.2,83,4.5,5.5,0.0
2024-12-17T13:00,7.8,85,5.4,6.4,0.0
2024-12-17T14:00,7.3,86,5.1,5.8,0.0
2024-12-17T15:00,6.0,89,4.3,4.2,0.0
2024-12-17T16:00,3.7,93,2.7,1.5,0.0
2024-12-17T17:00,3.1,95,2.4,1.0,0.0
2024-12-17T18:00,2.7,100,2.7,0.6,0.0
2024-12-17T19:00,2.3,100,2.3,0.3,0.0
2024-12-17T20:00,1.6,99,1.4,-0.6,0.0
2024-12-17T21:00,1.6,99,1.5,-0.4,0.0
2024-12-17T22:00,1.7,100,1.7,-0.3,0.0
2024-12-17T23:00,1.2,100,1.2,-1.0,0.0
2024-12-18T00:00,0.5,100,0.5,-2.0,0.0
2024-12-18T01:00,0.2,100,0.2,-2.2,0.0
2024-12-18T02:00,-0.1,100,-0.1,-2.7,0.0
2024-12-18T03:00,0.2,100,0.2,-2.1,0.0
2024-12-18T04:00,0.7,100,0.7,-1.8,0.0
2024-12-18T05:00,0.1,100,0.1,-2.5,0.0
2024-12-18T06:00,-0.1,100,-0.1,-2.4,0.0
2024-12-18T07:00,0.1,100,0.1,-2.6,0.0
2024-12-18T08:00,0.6,100,0.6,-1.7,0.0
2024-12-18T09:00,1.5,100,1.5,-0.8,0.0
2024-12-18T10:00,2.0,97,1.5,-0.3,0.0
2024-12-18T11:00,2.9,92,1.7,0.7,0.0
2024-12-18T12:00,4.0,88,2.2,1.9,0.0
2024-12-18T13:00,4.8,84,2.3,3.0,0.0
2024-12-18T14:00,5.1,85,2.7,3.2,0.0
2024-12-18T15:00,4.5,89,2.9,2.6,0.0
2024-12-18T16:00,4.0,88,2.2,1.8,0.0
2024-12-18T17:00,3.8,85,1.5,1.7,0.0
2024-12-18T18:00,3.9,85,1.6,1.7,0.0
2024-12-18T19:00,3.3,87,1.4,1.1,0.0
2024-12-18T20:00,1.8,100,1.8,-0.4,0.0
2024-12-18T21:00,0.9,100,0.9,-1.5,0.0
2024-12-18T22:00,1.6,100,1.6,-0.6,0.0
2024-12-18T23:00,1.0,100,1.0,-1.2,0.0
2024-12-22T00:00,-3.6,91,-4.8,-6.7,0.0
2024-12-22T01:00,-3.4,89,-4.9,-6.7,0.0
2024-12-22T02:00,-3.5,91,-4.7,-6.5,0.0
2024-12-22T03:00,-2.6,85,-4.8,-5.6,0.0
2024-12-22T04:00,-2.6,85,-4.8,-5.5,0.0
2024-12-22T05:00,-2.4,85,-4.6,-5.5,0.0
2024-12-22T06:00,-2.0,83,-4.5,-4.8,0.0
2024-12-22T07:00,-2.4,86,-4.4,-5.5,0.0
2024-12-22T08:00,-1.3,82,-4.0,-4.4,0.0
2024-12-22T09:00,-0.2,79,-3.4,-3.2,0.0
2024-12-22T10:00,1.6,77,-2.0,-1.1,0.0
2024-12-22T11:00,3.6,67,-1.9,0.7,0.0
2024-12-22T12:00,4.0,66,-1.8,1.3,0.0
2024-12-22T13:00,3.5,76,-0.3,1.1,0.0
2024-12-22T14:00,2.8,77,-0.9,-0.2,0.0
2024-12-22T15:00,2.7,77,-0.9,-0.1,0.0
2024-12-22T16:00,3.0,77,-0.7,0.6,0.0
2024-12-22T17:00,3.4,76,-0.5,0.6,0.0
2024-12-22T18:00,2.9,82,0.1,0.2,0.0
2024-12-22T19:00,2.4,87,0.4,-0.2,0.3
2024-12-22T20:00,2.2,90,0.7,-0.3,1.1
2024-12-22T21:00,1.7,94,0.8,-1.7,2.2
2024-12-22T22:00,2.6,89,1.0,-0.1,0.1
2024-12-22T23:00,1.8,93,0.8,-0.8,0.0
