timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2025-01-06T00:00,4.6,76,0.8,1.9,0.0
2025-01-06T01:00,6.6,70,1.5,4.1,0.0
2025-01-06T02:00,5.8,79,2.4,3.2,0.0
2025-01-06T03:00,3.3,82,0.5,0.8,0.0
2025-01-06T04:00,5.2,77,1.5,2.7,0.0
2025-01-06T05:00,8.7,61,1.6,6.4,0.0
2025-01-06T06:00,11.6,56,3.1,8.3,0.0
2025-01-06T07:00,12.1,58,4.1,7.6,0.0
2025-01-06T08:00,12.3,58,4.2,7.5,0.0
2025-01-06T09:00,12.1,59,4.4,8.6,0.0
2025-01-06T10:00,12.4,58,4.3,8.0,0.0
2025-01-06T11:00,12.3,59,4.5,5.9,0.0
2025-01-06T12:00,12.1,63,5.3,7.3,0.0
2025-01-06T13:00,12.3,61,5.0,8.9,0.0
2025-01-06T14:00,12.0,60,4.5,8.6,0.0
2025-01-06T15:00,11.2,63,4.4,8.3,0.0
2025-01-06T16:00,10.1,69,4.6,7.7,0.0
2025-01-06T17:00,9.2,72,4.4,6.7,0.0
2025-01-06T18:00,9.5,68,3.9,7.2,0.0
2025-01-06T19:00,10.2,64,3.7,7.8,0.0
2025-01-06T20:00,10.4,64,3.9,7.5,0.0
2025-01-06T21:00,9.2,77,5.4,5.2,0.0
2025-01-06T22:00,8.7,83,6.0,4.3,0.0
2025-01-06T23:00,8.6,85,6.2,4.7,0.0
