timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14T00:00,-0.1,85,-2.3,-3.4,0.0
2024-12-14T01:00,-0.3,87,-2.2,-3.8,0.0
2024-12-14T02:00,-0.3,86,-2.4,-4.1,0.0
2024-12-14T03:00,-0.1,85,-2.3,-3.1,0.0
2024-12-14T04:00,-0.5,92,-1.6,-3.5,0.0
2024-12-14T05:00,-0.4,93,-1.4,-3.3,0.0
2024-12-14T06:00,-0.3,95,-1.0,-3.0,0.0
2024-12-14T07:00,-0.3,96,-0.9,-3.5,0.1
2024-12-14T08:00,-0.1,93,-1.1,-3.1,0.0
2024-12-14T09:00,0.6,89,-1.0,-2.7,0.0
2024-12-14T10:00,1.3,86,-0.8,-1.6,0.0
2024-12-14T11:00,1.9,84,-0.5,-1.2,0.0
2024-12-14T12:00,2.4,81,-0.5,-0.3,0.0
2024-12-14T13:00,2.6,79,-0.6,0.1,0.0
2024-12-14T14:00,2.6,81,-0.3,0.0,0.0
2024-12-14T15:00,2.3,83,-0.2,-0.0,0.0
2024-12-14T16:00,2.0,84,-0.4,-0.4,0.0
2024-12-14T17:00,1.7,85,-0.6,-0.8,0.0
2024-12-14T18:00,0.5,93,-0.5,-2.1,0.0
2024-12-14T19:00,0.2,98,-0.1,-2.3,0.0
2024-12-14T20:00,-0.1,99,-0.2,-2.5,0.0
2024-12-14T21:00,-0.3,100,-0.3,-2.5,0.0
2024-12-14T22:00,-0.2,100,-0.2,-2.5,0.0
2024-12-14T23:00,-0.6,100,-0.6,-3.1,0.0
2024-12-15T00:00,-2.5,100,-2.5,-5.3,0.0
2024-12-15T01:00,-2.4,100,-2.4,-5.2,0.0
2024-12-15T02:00,-3.1,100,-3.1,-6.0,0.0
2024-12-15T03:00,-1.5,97,-1.9,-4.1,0.0
2024-12-15T04:00,-1.7,100,-1.7,-4.3,0.0
2024-12-15T05:00,-2.0,100,-2.0,-4.6,0.0
2024-12-15T06:00,-3.8,100,-3.8,-6.6,0.0
2024-12-15T07:00,-2.0,99,-2.1,-4.7,0.0
2024-12-15T08:00,0.4,88,-1.4,-2.0,0.0
2024-12-15T09:00,-0.6,94,-1.5,-3.2,0.0
2024-12-15T10:00,0.5,91,-0.8,-2.2,0.0
2024-12-15T11:00,2.3,86,0.2,-0.3,0.0
2024-12-15T12:00,3.5,81,0.5,1.0,0.0
2024-12-15T13:00,4.1,81,1.2,2.2,0.0
2024-12-15T14:00,4.3,77,0.6,1.8,0.0
2024-12-15T15:00,3.9,80,0.8,1.7,0.0
2024-12-15T16:00,3.2,73,-1.2,0.2,0.0
2024-12-15T17:00,1.8,75,-2.2,-1.2,0.0
2024-12-15T18:00,1.8,76,-2.0,-1.0,0.0
2024-12-15T19:00,1.8,72,-2.7,-1.1,0.0
2024-12-15T20:00,1.1,74,-3.0,-1.8,0.0
2024-12-15T21:00,1.0,74,-3.1,-1.9,0.0
2024-12-15T22:00,0.5,77,-3.1,-2.6,0.0
2024-12-15T23:00,-1.1,91,-2.3,-4.0,0.0
2024-12-16T00:00,-0.8,98,-1.0,-3.6,0.0
2024-12-16T01:00,-0.6,97,-1.0,-3.3,0.0
2024-12-16T02:00,-0.8,97,-1.2,-3.5,0.0
2024-12-16T03:00,-0.7,100,-0.7,-3.3,0.0
2024-12-16T04:00,-1.1,100,-1.1,-3.8,0.0
2024-12-16T05:00,-0.8,97,-1.2,-3.5,0.0
2024-12-16T06:00,-1.7,100,-1.7,-4.6,0.0
2024-12-16T07:00,-1.3,97,-1.7,-4.2,0.0
2024-12-16T08:00,-0.5,93,-1.5,-3.6,0.0
2024-12-16T09:00,0.1,91,-1.2,-2.8,0.0
2024-12-16T10:00,2.6,78,-0.8,-0.1,0.0
2024-12-16T11:00,4.9,75,0.8,1.9,0.0
2024-12-16T12:00,6.0,76,2.1,3.5,0.0
2024-12-16T13:00,7.2,75,3.1,5.0,0.0
2024-12-16T14:00,7.0,76,3.0,5.0,0.0
2024-12-16T15:00,5.8,79,2.4,3.5,0.0
2024-12-16T16:00,4.9,84,2.5,2.8,0.0
2024-12-16T17:00,5.0,84,2.6,3.0,0.0
2024-12-16T18:00,2.7,92,1.5,0.3,0.0
2024-12-16T19:00,3.4,89,1.8,1.2,0.0
2024-12-16T20:00,3.9,89,2.2,1.7,0.0
2024-12-16T21:00,4.2,86,2.1,1.9,0.0
2024-12-16T22:00,2.2,96,1.6,0.0,0.0
2024-12-16T23:00,1.6,100,1.6,-0.3,0.0
