timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2025-01-06T00:00,3.3,83,0.7,0.3,0.0
2025-01-06T01:00,4.8,76,0.9,2.2,0.0
2025-01-06T02:00,5.1,78,1.5,2.6,0.0
2025-01-06T03:00,4.5,75,0.5,1.9,0.0
2025-01-06T04:00,3.7,79,0.4,1.1,0.0
2025-01-06T05:00,4.1,79,0.8,1.0,0.0
2025-01-06T06:00,8.7,62,1.8,5.5,0.0
2025-01-06T07:00,11.3,57,3.1,9.3,0.0
2025-01-06T08:00,11.6,58,3.6,9.2,0.0
2025-01-06T09:00,11.5,60,4.0,9.7,0.0
2025-01-06T10:00,12.2,56,3.7,9.7,0.0
2025-01-06T11:00,12.9,54,3.8,9.3,0.0
2025-01-06T12:00,13.0,56,4.4,10.0,0.0
2025-01-06T13:00,12.8,57,4.5,10.4,0.0
2025-01-06T14:00,12.1,57,3.9,10.0,0.0
2025-01-06T15:00,10.6,63,3.8,8.3,0.0
2025-01-06T16:00,8.1,77,4.3,5.5,0.0
2025-01-06T17:00,7.6,80,4.4,5.1,0.0
2025-01-06T18:00,7.6,79,4.2,5.2,0.0
2025-01-06T19:00,7.3,80,4.0,4.7,0.0
2025-01-06T20:00,7.1,81,4.0,4.7,0.0
2025-01-06T21:00,6.8,83,4.1,4.7,0.0
2025-01-06T22:00,7.7,82,4.8,5.8,0.0
2025-01-06T23:00,8.6,82,5.7,5.2,0.0
